DATE,BAMLEMCBPITRIV
2016-07-27,369.43
2016-07-28,369.81
2016-07-29,369.98
2016-07-31,370.04
2016-08-01,370.18
2016-08-02,369.77
2016-08-03,369.24
2016-08-04,370.27
2016-08-05,370.78
2016-08-08,371.27
2016-08-09,371.94
2016-08-10,372.76
2016-08-11,372.68
2016-08-12,373.18
2016-08-15,373.77
2016-08-16,373.94
2016-08-17,373.91
2016-08-18,374.52
2016-08-19,374.5
2016-08-22,374.41
2016-08-23,374.74
2016-08-24,374.71
2016-08-25,374.28
2016-08-26,374.31
2016-08-29,374.57
2016-08-30,374.84
2016-08-31,374.56
2016-09-01,374.15
2016-09-02,374.33
2016-09-05,374.51
2016-09-06,375.21
2016-09-07,376.09
2016-09-08,375.91
2016-09-09,374.7
