DATE,BAMLHYH0A0HYM2TRIV
2016-05-06,1063.64
2016-05-09,1063.42
2016-05-10,1065.79
2016-05-11,1068.84
2016-05-12,1069.38
2016-05-13,1068.56
2016-05-16,1071.02
2016-05-17,1072.44
2016-05-18,1072.24
2016-05-19,1067.96
2016-05-20,1071.09
2016-05-23,1072.23
2016-05-24,1074.98
2016-05-25,1078.02
2016-05-26,1079.42
2016-05-27,1079.58
2016-05-30,1080.18
2016-05-31,1080.95
2016-06-01,1078.80
2016-06-02,1080.07
2016-06-03,1081.37
2016-06-06,1085.45
2016-06-07,1089.43
2016-06-08,1093.80
2016-06-09,1093.69
2016-06-10,1090.82
2016-06-13,1088.44
2016-06-14,1082.66
2016-06-15,1084.39
2016-06-16,1079.69
2016-06-17,1082.92
2016-06-20,1090.47
2016-06-21,1090.08
2016-06-22,1092.7
2016-06-23,1096.35
2016-06-24,1084.37
2016-06-27,1078.12
2016-06-28,1081.06
2016-06-29,1089.28
2016-06-30,1092.66
2016-07-01,1096.84
2016-07-04,1097.46
2016-07-05,1098.19
2016-07-06,1098.14
2016-07-07,1102.77
2016-07-08,1108.32
2016-07-11,1115.46
2016-07-12,1121.69
2016-07-13,1118.94
2016-07-14,1121.68
2016-07-15,1121.39
2016-07-18,1121.63
2016-07-19,1121.9
2016-07-20,1123.34
2016-07-21,1124.41
2016-07-22,1124.66
2016-07-25,1124.91
2016-07-26,1122.7
2016-07-27,1122.2
2016-07-28,1121.03
2016-07-29,1120.05
2016-07-31,1120.26
2016-08-01,1119.73
2016-08-02,1117.51
2016-08-03,1118.14
2016-08-04,1122.52
2016-08-05,1126.16
2016-08-08,1129.03
2016-08-09,1132.99
2016-08-10,1133.83
2016-08-11,1134.28
2016-08-12,1135.34
2016-08-15,1137.82
2016-08-16,1139.49
2016-08-17,1139.79
2016-08-18,1140.97
2016-08-19,1141.13
2016-08-22,1141.53
2016-08-23,1143.33
2016-08-24,1143.74
2016-08-25,1143.46
2016-08-26,1144.11
2016-08-29,1144.87
2016-08-30,1145.96
2016-08-31,1145.22
2016-09-01,1144.54
2016-09-02,1145.37
2016-09-05,1145.99
2016-09-06,1147.75
2016-09-07,1148.76
2016-09-08,1149.36
2016-09-09,1144.93
